candidate_index,candidate,rationale,case,active_pol,elapsed_s,selected_path_worst_return_db,selected_path_worst_return_expr,low_elevation_port_count,worst_low_elevation_s11_db,worst_low_elevation_s11_expr,worst_return_db,worst_return_expr,s11_pass
1,c61_fedmono_h4p8_g0p80_w0p24,Candidate 61 baseline: true board-edge-fed monopole that passed coverage but failed L-port S11.,A_ON_absorptive_50ohm_c0p08pf,A,94.433516,-13.338702,"dB(S(P3A:1,P3A:1))",4,-4.612071,"dB(S(P3L:1,P3L:1))",-4.612071,"dB(S(P3L:1,P3L:1))",False
1,c61_fedmono_h4p8_g0p80_w0p24,Candidate 61 baseline: true board-edge-fed monopole that passed coverage but failed L-port S11.,B_ON_absorptive_50ohm_c0p08pf,B,92.778709,-10.471258,"dB(S(P4B:1,P4B:1))",4,-4.137961,"dB(S(P2L:1,P2L:1))",-4.137961,"dB(S(P2L:1,P2L:1))",False
2,stub0p8_open,Add a short open shunt stub at the L-port feed point to test purely distributed capacitive tuning.,A_ON_absorptive_50ohm_c0p08pf,A,108.429896,-12.055905,"dB(S(P3A:1,P3A:1))",4,-4.381494,"dB(S(P4L:1,P4L:1))",-4.381494,"dB(S(P4L:1,P4L:1))",False
2,stub0p8_open,Add a short open shunt stub at the L-port feed point to test purely distributed capacitive tuning.,B_ON_absorptive_50ohm_c0p08pf,B,96.256359,-13.512912,"dB(S(P3B:1,P3B:1))",4,-4.029071,"dB(S(P4L:1,P4L:1))",-4.029071,"dB(S(P4L:1,P4L:1))",False
3,stub1p6_open,Lengthen the open shunt stub to see whether the high-band mismatch is stub-length sensitive.,A_ON_absorptive_50ohm_c0p08pf,A,90.380173,-9.806821,"dB(S(P4A:1,P4A:1))",4,-6.091384,"dB(S(P4L:1,P4L:1))",-6.091384,"dB(S(P4L:1,P4L:1))",False
3,stub1p6_open,Lengthen the open shunt stub to see whether the high-band mismatch is stub-length sensitive.,B_ON_absorptive_50ohm_c0p08pf,B,92.538248,-10.759865,"dB(S(P4B:1,P4B:1))",4,-5.437829,"dB(S(P4L:1,P4L:1))",-5.437829,"dB(S(P4L:1,P4L:1))",False
4,stub0p8_c0p08,Add a very small shunt capacitance at the end of a short L-port matching stub.,A_ON_absorptive_50ohm_c0p08pf,A,96.370327,-15.201489,"dB(S(P3A:1,P3A:1))",4,-4.845785,"dB(S(P2L:1,P2L:1))",-4.845785,"dB(S(P2L:1,P2L:1))",False
4,stub0p8_c0p08,Add a very small shunt capacitance at the end of a short L-port matching stub.,B_ON_absorptive_50ohm_c0p08pf,B,92.399727,-11.842848,"dB(S(P4B:1,P4B:1))",4,-4.167277,"dB(S(P2L:1,P2L:1))",-4.167277,"dB(S(P2L:1,P2L:1))",False
5,stub0p8_c0p16,Double the shunt capacitance to bracket the reactive direction around the L-port mismatch.,A_ON_absorptive_50ohm_c0p08pf,A,93.239158,-15.201489,"dB(S(P3A:1,P3A:1))",4,-4.845785,"dB(S(P2L:1,P2L:1))",-4.845785,"dB(S(P2L:1,P2L:1))",False
5,stub0p8_c0p16,Double the shunt capacitance to bracket the reactive direction around the L-port mismatch.,B_ON_absorptive_50ohm_c0p08pf,B,98.264604,-11.842848,"dB(S(P4B:1,P4B:1))",4,-4.167277,"dB(S(P2L:1,P2L:1))",-4.167277,"dB(S(P2L:1,P2L:1))",False
